,Date,Room_1,Room_2,Room_3,Room_4,Room_5,Room_6,Room_7,Room_8,Room_9,Room_10,Room_11,Room_101,Room_102,Room_103,Room_104,Room_105,Room_106,Room_107,Room_108,Room_109,Room_110,Room_111,Room_112,Room_113,Room_114,Room_115,Room_116,Room_117,Room_201,Room_202,Room_203,Room_204,Room_205,Room_206,Room_207,Room_208,Room_209,Room_210,Room_211,Room_212,Room_213,Room_214,Room_215,Room_216,Room_217,Meter_1_2A,Meter_2_2B,Meter_3_1A,Meter_4_1B,Meter_5_GA,Meter_6_GB,Meter_7_Basement,Library,Solar
0,2024-04-30,2532.8,3128.1,5709.6,1725.1,2937.5,1337.7,2733.6,1832.3,3426.9,5357.9,1968.9,2384.0,2771.0,3392.7,2901.4,2737.3,2533.7,1726.1,2820.1,3279.9,2262.8,2218.8,2089.0,2187.0,2924.8,3590.8,2368.5,1754.0,2792.1,3658.0,3094.7,3025.0,3134.8,4090.1,2927.0,2969.9,4279.7,2922.8,4025.1,4110.0,2812.0,3422.9,2023.9,2995.4,3383.5,27082.4,32182.3,22588.6,28032.9,26496.5,21607.0,15209.1,626.4,0.0
1,2024-05-31,2741.5,3302.6,6387.8,1862.5,3102.1,1471.8,2820.6,1919.3,4243.5,5745.9,2112.7,2650.7,3170.2,3654.7,3095.8,3144.1,2818.1,1946.8,2985.5,3658.8,2380.3,2484.3,2216.2,2293.5,3165.4,4152.4,2554.9,1940.8,3316.4,4140.0,3509.1,3566.8,3611.6,4480.2,3259.2,3491.6,4453.5,3175.2,4209.5,4672.9,3258.8,253.8,2355.0,3393.6,3862.7,30918.4,35770.0,24844.7,30641.5,28322.9,23514.6,15906.0,645.9,0.0
2,2024-06-30,2936.6,3412.4,7044.1,2017.7,3370.1,1627.1,2918.2,2029.2,4989.1,6112.8,2317.5,2921.2,3484.0,3853.4,3293.3,3454.8,3174.3,2161.3,3115.3,4013.0,2491.2,2778.6,2366.8,2420.8,3395.7,4722.4,2743.9,2108.4,3778.8,4462.5,3844.3,170.3,4109.9,4884.0,3608.9,3905.9,4828.8,3504.8,4415.7,5230.0,3724.9,638.4,2621.1,3813.5,4270.2,34433.3,39308.1,26879.5,33240.2,30082.5,25536.2,16690.5,718.3,4400.0
3,2024-07-31,3113.8,3581.5,7463.8,2171.1,3609.6,1762.8,3018.1,2151.6,5462.8,6416.4,2468.8,3178.2,3723.1,4102.1,3446.7,3693.8,3454.2,2401.3,3263.8,4336.3,2603.8,3054.1,2523.6,2527.4,3649.1,4957.2,3003.7,2238.8,4123.4,4792.6,4080.8,554.5,4335.4,151.0,3901.0,4157.4,5099.6,3657.7,4538.5,5685.1,4084.1,1062.8,2748.5,4124.9,4539.1,36802.9,41929.5,28751.1,35524.8,31669.4,27136.4,17564.1,935.0,9536.6
4,2024-08-31,3237.8,3707.1,7569.8,2247.8,3820.6,1924.7,3084.1,2226.4,5865.8,6621.9,101.0,3342.2,3851.1,4193.1,3560.7,3843.1,3622.3,2584.3,3364.3,4564.7,2662.5,3188.0,2633.9,2602.3,3748.0,4994.4,3112.5,2362.5,4331.9,4922.2,4219.1,696.7,4425.7,252.0,4047.4,4291.1,5276.6,3731.7,4612.5,5935.3,4323.8,1272.0,2812.0,4305.8,4624.4,37965.8,43405.7,29918.7,36855.5,32724.2,28441.8,18358.5,1145.8,12261.8
5,2024-09-30,3356.1,3837.4,7653.7,2370.2,4098.0,2070.0,3160.0,2344.5,6146.5,6737.0,220.0,3494.9,4031.6,4347.9,3657.6,3956.4,3820.6,2741.3,3490.6,4798.6,2776.8,3375.7,2751.7,2728.0,3858.0,5068.0,3275.2,2491.5,4573.4,5163.0,4431.8,970.7,4554.7,406.0,4293.6,4447.8,5591.8,3843.5,4754.0,6292.5,4619.9,1577.7,2899.6,4535.9,4774.8,39695.7,45482.0,31161.3,38363.1,33881.2,29632.7,19143.8,1316.8,15283.4
6,2024-10-31,3449.5,3940.6,7775.3,2452.3,4334.6,2203.9,3222.2,2426.3,6387.5,6831.3,362.0,3549.2,4164.3,4516.9,3757.4,4083.2,3964.2,2883.9,3618.1,5021.0,2901.0,3558.2,2844.8,2827.6,3970.3,5156.5,3427.7,2599.7,4827.0,5433.2,4624.6,1241.6,4666.7,567.0,4536.0,4573.0,5874.3,4137.5,4896.8,6512.9,4916.8,1883.1,2973.3,4741.0,4975.5,41401.3,47574.0,32210.1,39830.0,34984.9,30674.4,19920.7,1465.5,18697.2
